2026-07-25 00:00:00;Caulfield-Professional-2026-07-25;Quayclean Handicap
PRINCE TYCOON;2;100;18.0;0:07.91;300;19.98;0:10.33;500;19.42;0:10.47;700;19.09;0:11.13;900;18.0;0:11.45;1100;16.81;0:12.65
AFTERBERNA;4;100;17.58;0:08.21;300;19.42;0:10.53;500;19.69;0:10.48;700;18.48;0:11.12;900;18.2;0:11.30;1100;16.92;0:12.43
BEAUTIFUL BEVY;13;100;18.07;0:07.93;300;19.89;0:10.32;500;19.76;0:10.36;700;18.91;0:11.13;900;17.92;0:11.44;1100;16.92;0:12.91
SIGNATURE SCENT;3;100;17.64;0:07.97;300;20.14;0:10.38;500;19.31;0:10.54;700;19.05;0:11.14;900;18.39;0:11.43;1100;16.97;0:12.79
FARCITED;6;100;17.6;0:08.39;300;19.54;0:10.48;500;19.48;0:10.47;700;18.75;0:11.13;900;18.32;0:11.50;1100;16.87;0:12.66
FINAL MOMENT;11;100;17.79;0:08.06;300;19.34;0:10.52;500;19.5;0:10.47;700;18.6;0:11.36;900;18.47;0:11.35;1100;16.79;0:12.88
THE BENCHMARK;10;100;18.11;0:08.06;300;19.43;0:10.38;500;19.32;0:10.60;700;18.48;0:11.45;900;18.49;0:11.35;1100;16.82;0:12.82
EXPRESS CLASS;5;100;17.93;0:08.09;300;19.56;0:10.58;500;19.06;0:10.63;700;18.99;0:11.37;900;18.48;0:11.46;1100;16.99;0:12.61
NIGHTIME STAR;9;100;17.0;0:08.41;300;19.03;0:10.80;500;18.97;0:10.66;700;18.35;0:11.34;900;18.12;0:11.46;1100;17.22;0:12.18
JENNI THE NINJA;7;100;17.65;0:08.10;300;19.65;0:10.35;500;19.64;0:10.42;700;18.87;0:11.32;900;17.75;0:11.82;1100;16.47;0:13.08
PACIFIC GLAMOUR;14;100;18.04;0:07.99;300;19.95;0:10.30;500;19.31;0:10.54;700;18.99;0:11.45;900;17.54;0:11.98;1100;16.15;0:13.26
SNOW MERCY;1;100;17.51;0:08.03;300;19.56;0:10.47;500;19.43;0:10.58;700;18.73;0:11.51;900;17.68;0:11.86;1100;16.38;0:13.16
TALLADEGA GIRL;12;100;17.77;0:08.14;300;19.46;0:10.52;500;19.45;0:10.59;700;18.43;0:11.58;900;17.94;0:11.87;1100;16.41;0:13.15
LOGAM;8;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00
