2026-07-25 00:00:00;Caulfield-Professional-2026-07-25;Sportsbet Same Race Multi Handicap
OUR CHIEF;5;200;16.16;0:14.88;400;16.41;0:12.68;600;16.07;0:12.68;800;16.03;0:12.75;1000;16.0;0:12.72;1200;15.53;0:13.33;1400;15.57;0:13.28;1600;16.33;0:12.79;1800;18.05;0:11.40;2000;18.02;0:11.78;2200;17.63;0:11.64;2400;17.04;0:12.41
ENGINE OF WAR;4;200;16.04;0:14.93;400;15.89;0:12.82;600;15.87;0:12.76;800;15.87;0:12.80;1000;15.92;0:12.72;1200;15.52;0:13.30;1400;15.39;0:13.24;1600;16.86;0:12.64;1800;17.96;0:11.40;2000;18.01;0:11.70;2200;17.73;0:11.73;2400;16.86;0:12.39
PRESSURISED;9;200;16.28;0:14.77;400;16.27;0:12.50;600;16.25;0:12.40;800;16.36;0:12.43;1000;16.11;0:12.75;1200;15.12;0:13.46;1400;15.51;0:13.54;1600;15.87;0:12.79;1800;17.7;0:11.87;2000;17.8;0:11.73;2200;17.21;0:11.86;2400;16.46;0:12.61
DECALOGUE;1;200;15.82;0:14.97;400;15.72;0:13.11;600;15.73;0:13.09;800;15.93;0:12.86;1000;16.12;0:12.59;1200;15.59;0:13.26;1400;15.75;0:13.27;1600;17.11;0:12.27;1800;17.96;0:11.33;2000;17.81;0:11.93;2200;17.31;0:11.85;2400;16.87;0:12.38
KINGS REFLECTION;7;200;15.97;0:14.88;400;15.75;0:13.02;600;15.68;0:12.94;800;15.9;0:12.81;1000;16.11;0:12.63;1200;15.54;0:13.36;1400;15.47;0:13.32;1600;17.23;0:12.31;1800;18.23;0:11.28;2000;18.19;0:12.03;2200;17.14;0:12.10;2400;16.55;0:12.40
FERRARIO;10;200;15.91;0:15.12;400;15.82;0:12.88;600;15.55;0:13.08;800;15.81;0:12.85;1000;16.09;0:12.64;1200;15.55;0:13.24;1400;15.59;0:13.31;1600;17.02;0:12.41;1800;17.96;0:11.26;2000;18.12;0:11.69;2200;17.0;0:11.97;2400;16.66;0:12.63
HARBOUR TOWN;6;200;15.76;0:15.46;400;15.56;0:13.29;600;15.62;0:13.11;800;16.11;0:12.73;1000;16.13;0:12.61;1200;15.77;0:13.17;1400;15.77;0:13.20;1600;17.28;0:12.10;1800;18.19;0:11.30;2000;18.42;0:12.18;2200;17.5;0:11.86;2400;16.58;0:12.25
BRILLANTEZZA;3;200;15.85;0:15.38;400;15.76;0:13.15;600;15.56;0:13.29;800;15.99;0:12.92;1000;16.28;0:12.73;1200;15.9;0:13.14;1400;16.0;0:13.15;1600;17.48;0:12.03;1800;18.16;0:11.31;2000;18.08;0:12.06;2200;17.18;0:11.92;2400;16.6;0:12.38
MENTHON;8;200;16.12;0:15.66;400;16.18;0:12.97;600;15.41;0:13.14;800;15.91;0:12.80;1000;15.95;0:12.64;1200;15.7;0:13.05;1400;15.72;0:13.14;1600;17.3;0:12.26;1800;17.94;0:11.35;2000;17.73;0:12.13;2200;17.23;0:12.09;2400;16.55;0:12.41
DIRNASEER;2;200;15.93;0:15.21;400;15.88;0:13.07;600;15.78;0:13.14;800;15.92;0:12.86;1000;16;0:12.63;1200;15.74;0:13.21;1400;15.84;0:13.16;1600;17.41;0:12.05;1800;17.6;0:11.51;2000;17.46;0:12.15;2200;16.85;0:12.38;2400;15.99;0:13.60
DON'T DOUBT DARE;11;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00;2000;0;0:00.00;2200;0;0:00.00;2400;0;0:00.00
