2026-03-09 00:00:00;Morphettville-Professional-2026-03-09;Sportsbet Adelaide Cup
AMERICAN WOLF;13;200;16.51;0:16.01;400;16.66;0:12.23;600;16.43;0:12.39;800;15.77;0:12.82;1000;15.79;0:12.76;1200;15.58;0:13.21;1400;15.21;0:13.48;1600;15.48;0:13.19;1800;15.72;0:12.83;2000;16.15;0:12.83;2200;17.44;0:11.91;2400;17.51;0:11.61;2600;17.35;0:11.81;2800;17.30;0:11.85;3000;17.15;0:11.94;3200;16.33;0:12.57
HIGHLAND BLING;6;200;16.93;0:15.30;400;17.14;0:12.05;600;16.58;0:12.30;800;16.46;0:12.24;1000;16.40;0:12.77;1200;15.56;0:13.20;1400;15.17;0:13.35;1600;15.39;0:13.24;1800;15.42;0:13.10;2000;15.86;0:13.07;2200;16.46;0:12.39;2400;17.28;0:11.91;2600;17.22;0:11.77;2800;17.03;0:12.05;3000;16.68;0:12.14;3200;16.17;0:12.56
HURRY CURRY;10;200;16.50;0:15.26;400;16.92;0:12.00;600;16.30;0:12.46;800;16.23;0:12.49;1000;16.01;0:12.81;1200;15.40;0:13.28;1400;15.09;0:13.37;1600;15.48;0:13.13;1800;15.46;0:13.07;2000;15.89;0:13.07;2200;16.50;0:12.28;2400;17.40;0:11.90;2600;17.50;0:11.74;2800;16.88;0:12.07;3000;16.73;0:12.42;3200;15.67;0:13.01
CRIMSON VINE;5;200;16.66;0:15.39;400;16.70;0:12.32;600;16.25;0:12.51;800;15.61;0:13.01;1000;15.96;0:12.75;1200;15.57;0:13.31;1400;15.24;0:13.65;1600;15.60;0:13.09;1800;15.78;0:12.81;2000;15.99;0:12.80;2200;17.16;0:12.06;2400;17.40;0:11.70;2600;17.48;0:11.79;2800;17.34;0:12.04;3000;16.81;0:12.26;3200;15.89;0:12.91
ALAINGE;15;200;15.89;0:16.18;400;16.47;0:12.56;600;16.40;0:12.61;800;15.80;0:13.00;1000;16.20;0:12.77;1200;16.01;0:13.20;1400;15.16;0:13.76;1600;15.59;0:13.11;1800;16.50;0:12.52;2000;16.36;0:12.84;2200;17.33;0:12.16;2400;17.82;0:11.51;2600;17.55;0:11.69;2800;17.49;0:11.95;3000;16.98;0:12.17;3200;16.35;0:12.67
BERKELEY SQUARE;1;200;17.44;0:16.45;400;16.57;0:12.11;600;16.38;0:12.35;800;15.66;0:12.96;1000;15.92;0:12.67;1200;15.77;0:13.20;1400;15.22;0:13.70;1600;15.54;0:13.12;1800;15.89;0:12.74;2000;15.93;0:12.79;2200;17.33;0:12.05;2400;17.56;0:11.61;2600;17.63;0:11.54;2800;17.23;0:12.08;3000;16.34;0:12.53;3200;15.61;0:13.24
ZIBULON;16;200;16.44;0:15.57;400;16.96;0:12.00;600;16.31;0:12.50;800;16.03;0:12.70;1000;15.96;0:12.68;1200;15.70;0:13.16;1400;15.02;0:13.38;1600;15.25;0:13.28;1800;15.60;0:13.00;2000;15.86;0:12.92;2200;16.73;0:12.33;2400;17.42;0:11.94;2600;17.61;0:11.75;2800;17.00;0:12.23;3000;16.16;0:12.54;3200;15.58;0:13.17
EVENTUALLY;3;200;16.02;0:15.88;400;16.68;0:12.27;600;16.36;0:12.52;800;15.85;0:13.07;1000;15.82;0:12.89;1200;15.45;0:13.24;1400;15.21;0:13.75;1600;15.57;0:13.13;1800;16.12;0:12.66;2000;16.07;0:12.72;2200;17.31;0:12.12;2400;17.84;0:11.50;2600;17.88;0:11.71;2800;17.37;0:12.26;3000;16.35;0:12.60;3200;15.55;0:13.22
HASTA LA WAR;9;200;16.36;0:15.59;400;16.61;0:12.36;600;16.21;0:12.57;800;16.16;0:12.95;1000;15.73;0:12.99;1200;15.41;0:13.19;1400;15.17;0:13.64;1600;15.63;0:13.16;1800;16.56;0:12.60;2000;16.01;0:12.85;2200;17.71;0:12.14;2400;17.79;0:11.60;2600;17.53;0:11.85;2800;17.94;0:12.25;3000;16.42;0:12.60;3200;15.44;0:13.26
KIRKLISTON BLU;7;200;16.86;0:15.27;400;17.02;0:11.98;600;16.60;0:12.38;800;16.00;0:12.66;1000;15.90;0:12.92;1200;15.54;0:13.26;1400;15.36;0:13.49;1600;15.47;0:13.18;1800;15.44;0:13.00;2000;15.83;0:13.00;2200;16.73;0:12.37;2400;17.60;0:11.73;2600;17.46;0:11.92;2800;17.05;0:12.32;3000;16.07;0:12.66;3200;15.45;0:13.50
