2026-07-16 00:00:00;Southside Cranbourne-Professional-2026-07-16;Core Protective Group Handicap
TIGHT GRIP;17;200;16.26;0:14.70;400;17.44;0:11.91;600;16.73;0:12.30;800;16.11;0:12.57;1000;16.33;0:12.41;1200;16.62;0:12.32;1400;16.29;0:12.52;1600;16.2;0:12.95
DEADLY PRESS;1;200;15.9;0:14.60;400;16.62;0:12.28;600;16.72;0:12.12;800;16.33;0:12.60;1000;16.37;0:12.47;1200;16.6;0:12.26;1400;16.27;0:12.64;1600;15.92;0:12.81
CASH CONVERTER;3;200;16.65;0:14.59;400;16.81;0:12.11;600;16.73;0:12.19;800;16.45;0:12.45;1000;16.44;0:12.43;1200;16.9;0:12.37;1400;16.8;0:12.47;1600;15.84;0:13.36
UP AND UNDER;12;200;15.87;0:14.68;400;16.43;0:12.38;600;16.64;0:12.20;800;16.42;0:12.41;1000;16.49;0:12.39;1200;16.87;0:12.37;1400;16.82;0:12.48;1600;16.02;0:13.16
FYRELINE;5;200;15.4;0:14.79;400;16.34;0:12.41;600;16.71;0:12.15;800;16.27;0:12.59;1000;16.41;0:12.42;1200;16.75;0:12.42;1400;16.47;0:12.55;1600;16.37;0:12.78
AFRICAN GREY;11;200;15.52;0:15.00;400;16.14;0:12.52;600;16.54;0:12.22;800;16.61;0:12.53;1000;16.48;0:12.35;1200;16.71;0:12.34;1400;16.39;0:12.60;1600;16.46;0:12.72
KIWI JENNI;13;200;15.33;0:15.22;400;16.47;0:12.37;600;16.62;0:12.19;800;16.53;0:12.52;1000;16.34;0:12.36;1200;16.47;0:12.38;1400;16.66;0:12.39;1600;16.27;0:12.86
REAL ALLIANCE;6;200;15.42;0:15.01;400;16.15;0:12.53;600;16.38;0:12.38;800;16.57;0:12.52;1000;16.42;0:12.35;1200;16.95;0:12.36;1400;16.7;0:12.60;1600;16.41;0:12.79
HELPING HANDS;15;200;15.81;0:14.98;400;16.43;0:12.41;600;16.58;0:12.21;800;16.51;0:12.45;1000;16.4;0:12.38;1200;16.2;0:12.62;1400;15.97;0:13.03;1600;15.46;0:13.59
ENCHANTED JENNI;2;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
VICTORY TUNE;4;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
REEL DEADLY;7;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
CALEANA;8;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
OVERPRICED;9;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
COMPRESSING;10;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
MARINE EMPRESS;14;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
MASTER POLANSKI;16;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00
