2026-07-29 00:00:00;Sportsbet Sandown Hillside-Professional-2026-07-29;Sportsbet Race Replays Handicap
FOIRE DE TRONE;9;200;14.15;0:16.96;400;13.84;0:14.62;600;14.16;0:14.58;800;14.24;0:14.24;1000;14.84;0:13.67;1200;15.48;0:13.36;1400;15.67;0:12.87;1600;16.78;0:12.45;1800;16.79;0:12.27;2000;16.76;0:12.31;2200;16.84;0:12.12;2400;15.81;0:13.08
CUSTOMER SERVICE;7;200;14.16;0:16.80;400;13.85;0:14.56;600;14.04;0:14.59;800;14.41;0:14.24;1000;14.89;0:13.61;1200;15.27;0:13.38;1400;15.81;0:12.84;1600;16.88;0:12.41;1800;17.24;0:12.11;2000;17.06;0:12.21;2200;16.71;0:12.31;2400;15.26;0:13.56
EMPRESS OF THE SUN;8;200;14.29;0:16.71;400;14.17;0:14.48;600;13.98;0:14.63;800;14.18;0:14.23;1000;14.92;0:13.59;1200;15.26;0:13.31;1400;15.91;0:12.96;1600;16.83;0:12.31;1800;16.87;0:12.21;2000;16.65;0:12.48;2200;16.73;0:12.30;2400;15.42;0:13.44
LIGHTENING MANN;3;200;14.2;0:17.14;400;13.9;0:14.69;600;14.0;0:14.53;800;14.33;0:14.22;1000;14.96;0:13.64;1200;15.45;0:13.33;1400;15.75;0:12.86;1600;16.46;0:12.49;1800;17.34;0:12.22;2000;17.16;0:12.18;2200;16.9;0:12.25;2400;15.68;0:13.76
JAYKAYANN;5;200;13.9;0:17.30;400;13.65;0:14.78;600;13.82;0:14.74;800;13.83;0:14.55;1000;14.91;0:13.89;1200;15.66;0:13.28;1400;16.1;0:12.60;1600;17.03;0:12.19;1800;16.96;0:12.31;2000;16.85;0:12.47;2200;16.67;0:12.43;2400;15.29;0:13.62
ANT;10;200;14.08;0:17.33;400;13.83;0:14.83;600;14.06;0:14.56;800;14.24;0:14.35;1000;14.98;0:13.64;1200;15.68;0:13.24;1400;15.81;0:12.80;1600;16.62;0:12.46;1800;17.29;0:12.08;2000;16.84;0:12.40;2200;16.48;0:12.67;2400;14.95;0:14.01
WUDDZZ;1;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00;2000;0;0:00.00;2200;0;0:00.00;2400;0;0:00.00
EUPHORIC;2;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00;2000;0;0:00.00;2200;0;0:00.00;2400;0;0:00.00
SAMUEL LANGHORNE;4;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00;2000;0;0:00.00;2200;0;0:00.00;2400;0;0:00.00
URBAN OUTLOOK;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00;2000;0;0:00.00;2200;0;0:00.00;2400;0;0:00.00
