2026-07-18 00:00:00;Flemington-Professional-2026-07-18;Deane Lester Flemington Cup 1849
BOLD SOUL;1;200;15.54;0:15.46;400;16.23;0:12.56;600;15.7;0:13.18;800;15.39;0:13.20;1000;15.34;0:13.30;1200;15.13;0:13.37;1400;15.3;0:13.16;1600;15.25;0:13.21;1800;16.14;0:12.91;2000;16.46;0:12.54;2200;17.2;0:12.03;2400;17.58;0:11.64;2600;17.65;0:11.49;2800;17.28;0:11.94
HIGHLAND BLAZE;6;200;15.19;0:15.54;400;16.29;0:12.74;600;15.82;0:13.11;800;15.32;0:13.27;1000;15.23;0:13.34;1200;15.18;0:13.35;1400;15.34;0:13.13;1600;15.26;0:13.19;1800;16.25;0:12.95;2000;16.52;0:12.44;2200;17.33;0:11.98;2400;17.84;0:11.55;2600;17.61;0:11.53;2800;17.5;0:11.90
TEMPESTI;2;200;15.41;0:15.65;400;16.15;0:12.66;600;15.87;0:13.18;800;15.23;0:13.28;1000;15.41;0:13.28;1200;15.15;0:13.42;1400;15.32;0:13.13;1600;15.29;0:13.22;1800;16.36;0:12.93;2000;16.63;0:12.44;2200;17.57;0:11.95;2400;18.01;0:11.47;2600;18.2;0:11.37;2800;17.54;0:12.05
PARVATI PARTY;7;200;15.69;0:15.25;400;16.48;0:12.43;600;15.74;0:13.12;800;15.75;0:13.29;1000;15.38;0:13.26;1200;15.19;0:13.33;1400;15.44;0:13.03;1600;15.29;0:13.26;1800;15.96;0:13.03;2000;16.25;0:12.69;2200;17.1;0:12.25;2400;17.89;0:11.44;2600;17.78;0:11.51;2800;17.12;0:12.13
TAJANIS;4;200;15.73;0:15.48;400;16.22;0:12.58;600;16.01;0:13.09;800;15.14;0:13.34;1000;15.31;0:13.30;1200;15.1;0:13.41;1400;15.31;0:13.12;1600;15.22;0:13.28;1800;15.97;0:12.91;2000;16.18;0:12.59;2200;17.03;0:12.13;2400;17.74;0:11.49;2600;17.61;0:11.41;2800;17.28;0:11.89
BLACK RUN;3;200;15.59;0:15.08;400;16.35;0:12.45;600;15.86;0:13.10;800;15.57;0:13.15;1000;15.01;0:13.40;1200;15.08;0:13.40;1400;15.32;0:13.15;1600;15.13;0:13.25;1800;15.76;0:12.95;2000;16.31;0:12.56;2200;16.97;0:12.11;2400;17.64;0:11.50;2600;17.5;0:11.71;2800;16.69;0:12.27
SAMUEL LANGHORNE;9;200;14.69;0:16.11;400;15.69;0:13.01;600;15.76;0:13.07;800;15.35;0:13.24;1000;15.33;0:13.22;1200;15.15;0:13.26;1400;15.43;0:13.09;1600;15.48;0:13.08;1800;16.27;0:13.08;2000;17.16;0:12.32;2200;17.83;0:11.80;2400;17.86;0:11.49;2600;17.76;0:11.44;2800;17.16;0:12.24
URBAN OUTLOOK;10;200;15.88;0:15.89;400;15.83;0:12.99;600;15.85;0:13.08;800;15.25;0:13.24;1000;15.26;0:13.32;1200;15.18;0:13.38;1400;15.29;0:13.10;1600;15.34;0:13.17;1800;16.04;0:13.05;2000;16.75;0:12.45;2200;17.25;0:11.86;2400;17.91;0:11.48;2600;18.15;0:11.38;2800;17.14;0:12.09
STERN IDOL;8;200;15.01;0:15.94;400;15.82;0:12.85;600;15.83;0:13.15;800;15.4;0:13.19;1000;15.54;0:13.17;1200;15.08;0:13.35;1400;15.41;0:13.13;1600;15.41;0:13.19;1800;16.18;0:12.98;2000;16.68;0:12.31;2200;17.39;0:12.00;2400;17.69;0:11.54;2600;17.59;0:11.62;2800;16.71;0:12.60
VIRTUOUS CIRCLE;5;200;16.04;0:15.28;400;16.08;0:12.62;600;15.97;0:12.95;800;15.83;0:13.24;1000;15.14;0:13.42;1200;15.2;0:13.32;1400;15.23;0:13.18;1600;15.29;0:13.18;1800;15.72;0:13.03;2000;16.38;0:12.58;2200;17.24;0:12.09;2400;17.75;0:11.46;2600;17.48;0:11.91;2800;16.03;0:13.10
