2026-07-15 00:00:00;Sportsbet Sandown Hillside-Professional-2026-07-15;Evergreen Turf Handicap
KOMITO;12;200;16.76;0:14.90;400;16.64;0:12.38;600;16.35;0:12.53;800;16.08;0:12.69;1000;16.45;0:12.57;1200;17.06;0:12.25;1400;17.21;0:12.00;1600;17.02;0:12.00;1800;15.86;0:12.95
BLUE WILLOW;14;200;16.15;0:15.35;400;16.3;0:12.40;600;15.48;0:13.11;800;15.93;0:12.73;1000;16.74;0:12.47;1200;17.25;0:12.18;1400;17.55;0:11.92;1600;17.81;0:11.58;1800;16.8;0:12.73
GIGGENBACH;9;200;16.13;0:15.36;400;16.76;0:12.15;600;16.33;0:12.72;800;16.3;0:12.55;1000;16.43;0:12.52;1200;16.93;0:12.31;1400;17.42;0:12.02;1600;17.45;0:11.93;1800;16.04;0:13.17
ALMAIRAC;8;200;16.37;0:15.33;400;16.38;0:12.29;600;16;0:12.88;800;15.95;0:12.78;1000;16.62;0:12.46;1200;16.94;0:12.26;1400;17.41;0:12.04;1600;17.4;0:11.87;1800;15.87;0:13.07
DUBAI WATCH;7;200;16.07;0:15.59;400;16.31;0:12.39;600;15.79;0:13.04;800;15.94;0:12.85;1000;16.9;0:12.45;1200;17.22;0:12.11;1400;17.93;0:11.70;1600;17.5;0:11.80;1800;15.9;0:13.15
ICARO;11;200;16.0;0:15.88;400;16.39;0:12.35;600;16.0;0:12.93;800;15.92;0:12.77;1000;17.03;0:12.46;1200;17.14;0:12.03;1400;17.62;0:11.86;1600;17.58;0:12.08;1800;15.99;0:12.87
NATURAL RULER;4;200;16.96;0:14.85;400;17.18;0:12.16;600;16.42;0:12.44;800;16.29;0:12.69;1000;16.38;0:12.66;1200;16.9;0:12.22;1400;17.09;0:12.00;1600;16.82;0:12.47;1800;15.39;0:13.78
PRINCEOFNOTTINGHAM;1;200;16.72;0:14.85;400;16.98;0:12.24;600;16.13;0:12.53;800;16.01;0:12.85;1000;16.08;0:12.72;1200;16.43;0:12.30;1400;16.87;0:12.08;1600;16.75;0:12.29;1800;15.56;0:13.51
HOLMES;10;200;16.48;0:15.21;400;16.49;0:12.39;600;16.08;0:12.59;800;15.83;0:12.88;1000;16.38;0:12.48;1200;16.91;0:12.21;1400;17.11;0:12.08;1600;16.99;0:12.50;1800;15.47;0:13.35
SAVEADATEFORME;6;200;16.44;0:15.28;400;16.42;0:12.36;600;15.95;0:12.72;800;15.92;0:12.74;1000;16.6;0:12.38;1200;16.9;0:12.24;1400;17.12;0:12.12;1600;17.04;0:12.21;1800;15.48;0:13.68
IMPONDERABLE;15;200;17.05;0:14.70;400;17.11;0:11.90;600;16.55;0:12.33;800;16.03;0:12.67;1000;15.94;0:12.96;1200;16.66;0:12.42;1400;16.84;0:12.16;1600;16.66;0:12.64;1800;14.94;0:14.05
BIG SISTER AVA;13;200;16.46;0:15.04;400;16.39;0:12.30;600;16.26;0:12.75;800;16.05;0:12.68;1000;16.17;0:12.57;1200;16.87;0:12.19;1400;17.13;0:12.04;1600;17.02;0:12.48;1800;15.3;0:13.82
NISHINO CRESCENT;2;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00
HAALAND;3;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00
RED ON RED;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00;1400;0;0:00.00;1600;0;0:00.00;1800;0;0:00.00
