2026-07-14 00:00:00;Sportsbet-Ballarat Synthetic-Professional-2026-07-14;Mortimer Petroleum Maiden Plate
PUMP THE PEDALS;3;200;18.56;0:14.00;400;18.84;0:11.02;600;18.23;0:11.34;800;18.29;0:11.30;1000;17.22;0:12.22
BORIDI;10;200;18.81;0:13.78;400;18.79;0:10.97;600;18.35;0:11.33;800;18.03;0:11.42;1000;17.02;0:12.43
CACCHIONE;1;200;18.89;0:13.72;400;18.98;0:10.80;600;18.07;0:11.28;800;17.8;0:11.55;1000;16.96;0:12.60
TENNESSEE LIGHTS;9;200;18.71;0:13.83;400;18.89;0:11.17;600;18.17;0:11.21;800;17.8;0:11.53;1000;16.92;0:12.24
TAG THE BRIDE;11;200;19.1;0:13.79;400;19.23;0:10.83;600;17.95;0:11.39;800;17.92;0:11.46;1000;16.74;0:12.57
SONIC BOLT;4;200;18.75;0:14.07;400;19.02;0:10.90;600;18.42;0:11.36;800;17.97;0:11.61;1000;16.97;0:12.54
LE GLACON;2;200;18.4;0:14.14;400;18.83;0:10.82;600;17.87;0:11.40;800;17.33;0:11.81;1000;16.5;0:12.75
SOMETHING WHITE;8;200;18.66;0:13.81;400;18.7;0:10.90;600;18.25;0:11.21;800;17.14;0:12.04;1000;15.64;0:13.34
ROYAL MARVEL;7;200;17.67;0:14.71;400;17.71;0:11.90;600;16.88;0:12.41;800;16.66;0:12.40;1000;16.13;0:13.53
ICE ICE DAISY;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
LADY IN RED;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
