2026-07-14 00:00:00;Sportsbet-Ballarat Synthetic-Professional-2026-07-14;Hygain Edge BM66 Handicap
DUNDONALD;6;100;16.03;0:08.84;300;16.69;0:12.11;500;16.1;0:12.30;700;15.81;0:12.66;900;16.14;0:12.50;1100;16.34;0:12.35;1300;16.27;0:12.58;1500;17.36;0:11.78;1700;17.49;0:11.83;1900;16.73;0:12.19;2100;16.01;0:12.84
AHAB;5;100;15.01;0:08.27;300;16.28;0:12.62;500;16.16;0:12.77;700;15.99;0:12.91;900;16.71;0:12.36;1100;16.72;0:12.28;1300;16.64;0:12.47;1500;17.59;0:11.61;1700;17.58;0:11.90;1900;16.99;0:12.21;2100;16.2;0:12.91
WINSTON;3;100;16.02;0:08.18;300;16.82;0:12.08;500;16.39;0:12.51;700;16.17;0:12.87;900;16.45;0:12.29;1100;16.4;0:12.31;1300;16.39;0:12.65;1500;16.85;0:12.07;1700;16.98;0:12.14;1900;16.8;0:12.30;2100;15.49;0:13.24
KAWA;8;100;14.61;0:08.74;300;16.77;0:12.49;500;16.26;0:12.53;700;15.88;0:13.13;900;16.86;0:12.30;1100;16.72;0:12.37;1300;16.58;0:12.23;1500;17.71;0:11.65;1700;17.71;0:11.92;1900;16.91;0:12.22;2100;15.56;0:13.09
MORISU OJO;7;100;15.49;0:08.90;300;16.8;0:12.27;500;16.32;0:12.86;700;16.02;0:12.85;900;16.7;0:12.34;1100;16.67;0:12.32;1300;16.66;0:12.48;1500;17.61;0:11.83;1700;17.63;0:11.94;1900;17.07;0:12.12;2100;16.36;0:12.82
GRUNNETTAN;10;100;14.93;0:09.21;300;16.2;0:12.79;500;16.45;0:12.30;700;15.92;0:13.00;900;16.33;0:12.36;1100;16.42;0:12.38;1300;16.71;0:12.32;1500;17.01;0:12.00;1700;16.73;0:12.18;1900;16.7;0:12.32;2100;16.6;0:12.40
GATES;2;100;15.73;0:08.84;300;16.75;0:12.28;500;16.26;0:12.62;700;16.23;0:12.82;900;16.48;0:12.36;1100;16.6;0:12.34;1300;16.79;0:12.66;1500;17.89;0:11.66;1700;17.24;0:11.94;1900;16.47;0:12.48;2100;15.46;0:13.27
QUITE THE LASS;1;100;15.5;0:08.44;300;16.51;0:12.29;500;16.06;0:12.68;700;15.92;0:12.88;900;16.64;0:12.35;1100;16.61;0:12.27;1300;16.5;0:12.54;1500;17.27;0:12.00;1700;17.06;0:12.24;1900;16.75;0:12.30;2100;15.81;0:13.36
HIGHNESS;4;100;15.96;0:08.23;300;16.79;0:12.23;500;16.14;0:12.56;700;15.87;0:12.89;900;16.45;0:12.33;1100;16.54;0:12.28;1300;16.45;0:12.61;1500;16.88;0:12.14;1700;16.76;0:12.37;1900;15.98;0:12.83;2100;15.46;0:13.40
GEEGEES HISWORD;9;100;15.91;0:09.10;300;16.92;0:12.13;500;16.68;0:12.42;700;16.05;0:12.88;900;16.31;0:12.40;1100;16.59;0:12.32;1300;16.61;0:12.43;1500;17.0;0:11.99;1700;16.74;0:12.49;1900;15.98;0:12.84;2100;15.35;0:13.90
