6/27/2026 12:00:00 AM;Caulfield-Professional-2026-06-27;Sportsbet Fixed Odds Exotics Handicap;00:02:08.704;CAUL_2000m_TRACK
Nellie Leylax;6;200;16.34;00:00:14.430;400;16.65;00:00:12.150;600;16.31;00:00:12.390;800;15.87;00:00:13.090;1000;15.58;00:00:12.940;1200;17.07;00:00:12.060;1400;16.82;00:00:12.040;1600;16.87;00:00:11.980;1800;17.02;00:00:11.970;2000;16.76;00:00:12.420
Bankers Choice;1;200;16.99;00:00:14.530;400;16.99;00:00:11.990;600;17.04;00:00:12.100;800;16.17;00:00:12.960;1000;15.6;00:00:13.110;1200;16.82;00:00:12.140;1400;16.77;00:00:12.000;1600;16.91;00:00:12.070;1800;16.78;00:00:12.110;2000;16.44;00:00:12.770
Smokin' Romans;2;200;16.39;00:00:14.340;400;16.68;00:00:12.190;600;16.88;00:00:12.120;800;15.88;00:00:13.180;1000;15.91;00:00:13.040;1200;16.73;00:00:12.090;1400;16.71;00:00:12.010;1600;16.68;00:00:12.150;1800;16.56;00:00:12.240;2000;16.34;00:00:12.610
Freedom Rally;3;200;16.29;00:00:14.560;400;16.62;00:00:12.300;600;16.37;00:00:12.390;800;15.95;00:00:13.090;1000;15.47;00:00:12.990;1200;17.14;00:00:12.070;1400;16.9;00:00:12.010;1600;17.01;00:00:12.010;1800;16.83;00:00:12.200;2000;16.43;00:00:12.730
Gilded Water;4;200;16.44;00:00:14.880;400;16.87;00:00:12.120;600;16.34;00:00:12.340;800;16.25;00:00:13.080;1000;15.82;00:00:13.050;1200;17.14;00:00:11.950;1400;16.96;00:00:11.980;1600;17.12;00:00:12.020;1800;16.78;00:00:12.200;2000;16.08;00:00:13.040
Thedoctoroflove;7;200;16.71;00:00:14.520;400;16.69;00:00:12.250;600;16.34;00:00:12.350;800;16.05;00:00:12.990;1000;15.69;00:00:13.080;1200;16.99;00:00:12.030;1400;16.88;00:00:11.980;1600;16.89;00:00:12.210;1800;16.5;00:00:12.480;2000;16.19;00:00:12.900
Raging Bull;8;200;16.25;00:00:14.750;400;16.74;00:00:12.260;600;16.25;00:00:12.510;800;16.08;00:00:13.160;1000;15.66;00:00:13.040;1200;17.27;00:00:11.930;1400;17.13;00:00:12.000;1600;16.92;00:00:12.070;1800;16.73;00:00:12.190;2000;16.3;00:00:12.890
Cadmus;11;200;16.31;00:00:14.790;400;17;00:00:12.330;600;16.49;00:00:12.390;800;16.38;00:00:13.240;1000;15.79;00:00:13.010;1200;17.26;00:00:11.940;1400;16.91;00:00:11.990;1600;17.22;00:00:12.120;1800;17.22;00:00:12.150;2000;16.02;00:00:13.330
Star Of India;5;200;16.27;00:00:15.060;400;16.81;00:00:12.250;600;16.29;00:00:12.340;800;16.28;00:00:13.360;1000;15.82;00:00:13.030;1200;17.44;00:00:11.920;1400;17.17;00:00:11.880;1600;17.11;00:00:12.190;1800;16.62;00:00:12.390;2000;15.64;00:00:13.980
Smokin' Princess;9;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000;1400;0;00:00:00.000;1600;0;00:00:00.000;1800;0;00:00:00.000;2000;0;00:00:00.000
Test The Law;10;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000;1400;0;00:00:00.000;1600;0;00:00:00.000;1800;0;00:00:00.000;2000;0;00:00:00.000
