30/05/2026 12:00:00 AM;Caulfield-Professional-2026-05-30;Ian Miller Handicap;00:01:12.753;CAUL_1200m_TRACK
Flyer;4;200;18.62;00:00:14.360;400;19.36;00:00:10.720;600;18.53;00:00:11.010;800;17.99;00:00:11.870;1000;17.66;00:00:11.740;1200;17.02;00:00:12.640
Luna Cat;6;200;18.5;00:00:14.360;400;18.64;00:00:10.880;600;18.78;00:00:10.870;800;18.22;00:00:11.890;1000;17.55;00:00:11.820;1200;16.74;00:00:12.670
Emmadella;2;200;18.64;00:00:14.150;400;18.85;00:00:10.780;600;18.75;00:00:10.790;800;18.11;00:00:11.920;1000;16.94;00:00:12.160;1200;16.44;00:00:12.770
Swift Force;3;200;19.46;00:00:13.420;400;19.62;00:00:10.390;600;18.83;00:00:10.800;800;18;00:00:11.990;1000;16.45;00:00:12.690;1200;15.4;00:00:13.310
Zunna;12;200;18.54;00:00:14.350;400;19.31;00:00:10.630;600;19.22;00:00:10.670;800;18.4;00:00:11.770;1000;17.39;00:00:12.190;1200;16.39;00:00:13.100
West Of Dalby;11;200;18.54;00:00:13.760;400;19.41;00:00:10.580;600;18.41;00:00:10.960;800;18.12;00:00:12.030;1000;17.14;00:00:12.260;1200;15.81;00:00:13.460
Sun Setting;7;200;18.4;00:00:14.150;400;18.96;00:00:10.830;600;18.67;00:00:10.860;800;17.99;00:00:11.980;1000;17.69;00:00:12.000;1200;16.18;00:00:13.430
Southern Crescent;10;200;18.51;00:00:14.310;400;18.81;00:00:10.830;600;18.55;00:00:10.870;800;18.22;00:00:11.710;1000;17.38;00:00:12.090;1200;15.85;00:00:13.550
Bedtime Angel;8;200;19.28;00:00:13.580;400;19.59;00:00:10.390;600;19.14;00:00:10.740;800;18.04;00:00:12.030;1000;16.37;00:00:12.810;1200;15.04;00:00:14.520
Super Norwest;1;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000
Royal Lass;5;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000
Sea Poem;9;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000
